"","date","open","high","low","close","volume","adjusted"
"2685",2008-09-04,23.694286,23.987143,22.972857,23.031429,185846500,15.591276
"2686",2008-09-05,22.655714,23.200001,22.521429,22.882856,196721000,15.490699
"2687",2008-09-08,23.51,23.555714,21.637142,22.559999,261494800,15.27214
"2688",2008-09-09,22.408571,22.851429,21.398571,21.668571,311256400,14.668678
"2689",2008-09-10,21.76,22.141428,21.257143,21.658571,243285700,14.661912
"2690",2008-09-11,21.168571,21.855715,20.857143,21.807142,242783800,14.762486
"2691",2008-09-12,21.558571,21.558571,20.928572,21.277143,198256800,14.403703
"2692",2008-09-15,20.290001,21.098572,20.051428,20.051428,230158600,13.573943
"2693",2008-09-16,19.122858,20.357143,18.878571,19.982857,299959100,13.527525
"2694",2008-09-17,19.784286,19.787144,18.261429,18.261429,300113800,12.362193
"2695",2008-09-18,18.652857,19.347143,17.24,19.155714,419063400,12.967588
"2696",2008-09-19,20.371429,20.6,19.472857,20.129999,357718900,13.627132
"2697",2008-09-22,19.991428,20.035715,18.665714,18.721428,214178300,12.673593
"2698",2008-09-23,18.835714,19.4,18.094286,18.120001,320091100,12.266456
"2699",2008-09-24,18.181429,18.707144,17.878571,18.387142,261753800,12.447294
"2700",2008-09-25,18.542856,19.255714,18.360001,18.847143,251511400,12.758697
"2701",2008-09-26,17.844286,18.542856,17.571428,18.32,281612800,12.401843
"2702",2008-09-29,17.088572,17.097143,14.37,15.037143,655514300,10.179491
"2703",2008-09-30,15.464286,16.428572,15.185715,16.237143,406670600,10.991839
"2704",2008-10-01,15.988571,16.051428,15.341429,15.588572,324121000,10.552786
"2705",2008-10-02,15.43,15.541429,14.285714,14.3,402341100,9.68048
"2706",2008-10-03,14.857142,15.214286,13.521428,13.867143,573599600,9.387453
"2707",2008-10-06,13.137143,14.111428,12.505714,14.02,526854300,9.49093
"2708",2008-10-07,14.354285,14.5,12.707143,12.737143,469693000,8.622491
"2709",2008-10-08,12.272857,13.761429,12.24,12.827143,551935300,8.683418
"2710",2008-10-09,13.335714,13.685715,12.371428,12.677143,404345900,8.581875
"2711",2008-10-10,12.242857,14.285714,12.142858,13.828571,554824900,9.361341
"2712",2008-10-13,14.935715,15.79,14.431429,15.751429,384769000,10.663033
"2713",2008-10-14,16.608572,16.628571,14.734285,14.868571,495248600,10.065378
"2714",2008-10-15,14.834286,15.285714,13.984285,13.992857,396043900,9.472557
"2715",2008-10-16,14.252857,14.775714,13.105714,14.555715,495130300,9.853585
"2716",2008-10-17,14.228572,14.577143,12.27,13.914286,440556900,9.419366
"2717",2008-10-20,14.254286,14.29,13.377143,14.062857,387292500,9.519943
"2718",2008-10-21,13.85,13.985714,13.022857,13.07,548415000,8.847822
"2719",2008-10-22,13.91,14.464286,13.275714,13.838572,562202200,9.368113
"2720",2008-10-23,13.787143,14.178572,13.128572,14.032857,418857600,9.499633
"2721",2008-10-24,12.904285,13.985714,12.872857,13.768572,397514600,9.320725
"2722",2008-10-27,13.581429,13.947143,13.122857,13.155714,302192800,8.905848
"2723",2008-10-28,13.632857,14.357142,13.195714,14.272857,408533300,9.662101
"2724",2008-10-29,14.408571,15.648571,14.277143,14.935715,487744600,10.110829
"2725",2008-10-30,15.461429,16.027143,15.372857,15.862857,409522400,10.738465
"2726",2008-10-31,15.342857,15.825714,15.02,15.37,414939000,10.40482
"2727",2008-11-03,15.132857,15.585714,14.98,15.28,264484500,10.343894
"2728",2008-11-04,15.712857,15.97,15.238571,15.855714,349670300,10.73363
"2729",2008-11-05,15.558572,15.674286,14.712857,14.757143,314113800,9.989944
"2730",2008-11-06,14.435715,14.682858,14,14.157143,329768600,9.58377
"2731",2008-11-07,14.177143,14.264286,13.674286,14.034286,273813400,9.500599
"2732",2008-11-10,14.31,14.342857,13.5,13.697143,280955500,9.272368
"2733",2008-11-11,13.544286,13.881429,13.18,13.538571,306134500,9.165026
"2734",2008-11-12,13.204286,13.32,12.858571,12.874286,294744100,8.715332
"2735",2008-11-13,12.838572,13.777143,12.288571,13.777143,463521800,9.326528
"2736",2008-11-14,13.394286,13.427143,12.857142,12.891429,351316700,8.726936
"2737",2008-11-17,12.64,12.935715,12.465714,12.591429,290631600,8.52385
"2738",2008-11-18,12.805715,12.998571,12.408571,12.844286,302423800,8.695023
"2739",2008-11-19,12.777143,13.082857,12.315714,12.327143,292975200,8.344941
"2740",2008-11-20,12.177143,12.35,11.428572,11.498571,429203600,7.784032
"2741",2008-11-21,11.704286,12.017143,11.305715,11.797143,392317800,7.986153
"2742",2008-11-24,12.172857,13.541429,12.12,13.278571,360564400,8.989017
"2743",2008-11-25,13.518572,13.53,12.594286,12.971429,308823200,8.781094
"2744",2008-11-26,12.845715,13.607142,12.835714,13.571428,224959000,9.187265
